property_id,check_in_date,room_category,successful_bookings,capacity
12261,02-May-22,HRT1,15,26
11260,02-May-22,HRT1,17,34
11261,02-May-22,HRT1,11,18
11262,02-May-22,HRT1,17,31
11263,02-May-22,HRT1,25,41
12259,02-May-22,HRT1,20,32
12262,02-May-22,HRT1,9,20
12263,02-May-22,HRT1,15,25
13258,02-May-22,HRT1,8,15
13259,02-May-22,HRT1,17,42
13261,02-May-22,HRT1,24,33
13262,02-May-22,HRT1,22,38
13263,02-May-22,HRT1,14,27
14259,02-May-22,HRT1,13,24
14261,02-May-22,HRT1,20,36
12264,02-May-22,HRT1,7,16
14262,02-May-22,HRT2,15,23
13263,02-May-22,HRT2,15,29
12261,02-May-22,HRT2,23,36
12258,02-May-22,HRT2,27,50
11262,02-May-22,HRT2,21,43
11261,02-May-22,HRT2,16,24
11258,02-May-22,HRT2,14,22
14260,02-May-22,HRT2,21,38
11263,02-May-22,HRT2,23,38
11259,02-May-22,HRT2,23,41
14259,02-May-22,HRT2,19,41
14258,02-May-22,HRT2,17,39
12259,02-May-22,HRT2,26,39
11260,02-May-22,HRT2,17,34
13262,02-May-22,HRT2,17,34
13259,02-May-22,HRT2,18,44
12263,02-May-22,HRT2,28,44
12262,02-May-22,HRT2,14,30
13258,02-May-22,HRT2,14,30
12264,02-May-22,HRT2,16,40
13261,02-May-22,HRT2,25,40
13260,02-May-22,HRT2,26,40
12260,02-May-22,HRT2,23,45
14261,02-May-22,HRT2,22,45
14263,02-May-22,HRT2,20,45
14263,02-May-22,HRT3,14,29
14262,02-May-22,HRT3,18,29
14261,02-May-22,HRT3,17,29
13262,02-May-22,HRT3,18,29
12258,02-May-22,HRT3,12,27
12262,02-May-22,HRT3,12,27
14259,02-May-22,HRT3,14,27
11259,02-May-22,HRT3,20,32
11258,02-May-22,HRT3,5,8
13261,02-May-22,HRT3,18,25
13258,02-May-22,HRT3,15,26
11261,02-May-22,HRT3,13,21
11263,02-May-22,HRT3,13,20
12260,02-May-22,HRT3,13,25
13260,02-May-22,HRT3,14,24
12259,02-May-22,HRT3,9,16
12263,02-May-22,HRT3,9,16
13259,02-May-22,HRT3,9,23
14258,02-May-22,HRT3,9,21
12264,02-May-22,HRT3,9,24
11260,02-May-22,HRT3,10,20
12261,02-May-22,HRT3,10,19
11262,02-May-22,HRT3,11,18
13263,02-May-22,HRT3,11,23
14260,02-May-22,HRT3,11,19
14259,02-May-22,HRT4,2,3
11258,02-May-22,HRT4,2,3
12258,02-May-22,HRT4,4,6
14263,02-May-22,HRT4,4,6
14258,02-May-22,HRT4,4,7
14261,02-May-22,HRT4,4,7
13261,02-May-22,HRT4,5,9
11261,02-May-22,HRT4,6,10
12260,02-May-22,HRT4,6,13
12264,02-May-22,HRT4,6,17
13260,02-May-22,HRT4,11,15
14260,02-May-22,HRT4,11,16
13259,02-May-22,HRT4,9,19
12263,02-May-22,HRT4,12,19
14262,02-May-22,HRT4,8,14
12259,02-May-22,HRT4,8,14
13258,02-May-22,HRT4,10,20
13262,02-May-22,HRT4,12,20
13263,02-May-22,HRT4,11,18
11263,02-May-22,HRT4,12,18
11259,02-May-22,HRT4,12,18
11262,02-May-22,HRT4,3,6
12262,02-May-22,HRT4,3,6
11260,02-May-22,HRT4,3,7
12261,02-May-22,HRT4,3,4
14263,03-May-22,HRT3,15,29
11259,03-May-22,HRT1,17,30
13260,03-May-22,HRT1,19,30
14262,03-May-22,HRT1,19,30
14263,03-May-22,HRT1,15,30
12258,03-May-22,HRT1,9,19
11258,03-May-22,HRT1,14,19
12260,03-May-22,HRT1,19,40
14258,03-May-22,HRT1,20,40
14260,03-May-22,HRT1,14,26
12261,03-May-22,HRT1,16,26
11260,03-May-22,HRT1,19,34
11261,03-May-22,HRT1,10,18
11262,03-May-22,HRT1,14,31
11263,03-May-22,HRT1,25,41
12259,03-May-22,HRT1,20,32
12262,03-May-22,HRT1,10,20
12263,03-May-22,HRT1,16,25
13258,03-May-22,HRT1,8,15
13259,03-May-22,HRT1,18,42
13261,03-May-22,HRT1,19,33
13262,03-May-22,HRT1,23,38
13263,03-May-22,HRT1,13,27
14259,03-May-22,HRT1,12,24
14261,03-May-22,HRT1,20,36
12264,03-May-22,HRT1,6,16
14262,03-May-22,HRT2,14,23
13263,03-May-22,HRT2,14,29
12261,03-May-22,HRT2,23,36
12258,03-May-22,HRT2,26,50
11262,03-May-22,HRT2,19,43
11261,03-May-22,HRT2,16,24
11258,03-May-22,HRT2,14,22
14260,03-May-22,HRT2,25,38
11263,03-May-22,HRT2,24,38
11259,03-May-22,HRT2,26,41
14259,03-May-22,HRT2,22,41
14258,03-May-22,HRT2,16,39
12259,03-May-22,HRT2,24,39
11260,03-May-22,HRT2,16,34
13262,03-May-22,HRT2,22,34
13259,03-May-22,HRT2,19,44
12263,03-May-22,HRT2,30,44
12262,03-May-22,HRT2,15,30
13258,03-May-22,HRT2,16,30
12264,03-May-22,HRT2,16,40
13261,03-May-22,HRT2,25,40
13260,03-May-22,HRT2,25,40
12260,03-May-22,HRT2,22,45
14261,03-May-22,HRT2,21,45
14263,03-May-22,HRT2,23,45
14262,03-May-22,HRT3,18,29
14261,03-May-22,HRT3,14,29
13262,03-May-22,HRT3,17,29
12258,03-May-22,HRT3,15,27
12262,03-May-22,HRT3,12,27
14259,03-May-22,HRT3,14,27
11259,03-May-22,HRT3,21,32
11258,03-May-22,HRT3,5,8
13261,03-May-22,HRT3,15,25
13260,03-May-22,HRT3,15,24
11262,03-May-22,HRT3,8,18
11261,03-May-22,HRT3,13,21
11263,03-May-22,HRT3,13,20
13258,03-May-22,HRT3,13,26
13259,03-May-22,HRT3,9,23
14258,03-May-22,HRT3,9,21
11260,03-May-22,HRT3,10,20
12259,03-May-22,HRT3,10,16
12263,03-May-22,HRT3,10,16
12261,03-May-22,HRT3,12,19
14260,03-May-22,HRT3,12,19
12260,03-May-22,HRT3,11,25
13263,03-May-22,HRT3,11,23
12264,03-May-22,HRT3,11,24
12262,03-May-22,HRT4,2,6
11258,03-May-22,HRT4,2,3
14263,03-May-22,HRT4,4,6
14261,03-May-22,HRT4,4,7
13261,03-May-22,HRT4,5,9
11261,03-May-22,HRT4,7,10
12260,03-May-22,HRT4,7,13
14259,03-May-22,HRT4,1,3
12264,03-May-22,HRT4,7,17
13260,03-May-22,HRT4,9,15
14260,03-May-22,HRT4,10,16
13259,03-May-22,HRT4,9,19
12263,03-May-22,HRT4,11,19
14262,03-May-22,HRT4,9,14
12259,03-May-22,HRT4,10,14
13258,03-May-22,HRT4,10,20
13262,03-May-22,HRT4,12,20
13263,03-May-22,HRT4,8,18
11263,03-May-22,HRT4,11,18
11259,03-May-22,HRT4,11,18
11262,03-May-22,HRT4,3,6
12258,03-May-22,HRT4,3,6
11260,03-May-22,HRT4,3,7
14258,03-May-22,HRT4,3,7
12261,03-May-22,HRT4,3,4
14263,04-May-22,HRT3,15,29
13260,04-May-22,HRT1,20,30
14262,04-May-22,HRT1,17,30
14263,04-May-22,HRT1,14,30
12258,04-May-22,HRT1,9,19
11258,04-May-22,HRT1,13,19
12260,04-May-22,HRT1,22,40
14258,04-May-22,HRT1,15,40
14260,04-May-22,HRT1,16,26
12261,04-May-22,HRT1,15,26
11260,04-May-22,HRT1,17,34
11261,04-May-22,HRT1,11,18
11262,04-May-22,HRT1,16,31
11263,04-May-22,HRT1,28,41
12259,04-May-22,HRT1,19,32
12262,04-May-22,HRT1,9,20
12263,04-May-22,HRT1,16,25
13258,04-May-22,HRT1,7,15
13259,04-May-22,HRT1,18,42
13261,04-May-22,HRT1,22,33
13262,04-May-22,HRT1,25,38
13263,04-May-22,HRT1,16,27
14259,04-May-22,HRT1,12,24
14261,04-May-22,HRT1,16,36
12264,04-May-22,HRT1,7,16
14262,04-May-22,HRT2,14,23
13263,04-May-22,HRT2,16,29
12261,04-May-22,HRT2,21,36
12258,04-May-22,HRT2,27,50
11262,04-May-22,HRT2,21,43
11261,04-May-22,HRT2,15,24
11258,04-May-22,HRT2,14,22
14260,04-May-22,HRT2,21,38
11263,04-May-22,HRT2,23,38
11259,04-May-22,HRT2,28,41
14259,04-May-22,HRT2,22,41
14258,04-May-22,HRT2,18,39
12259,04-May-22,HRT2,23,39
11260,04-May-22,HRT2,20,34
13262,04-May-22,HRT2,22,34
13259,04-May-22,HRT2,19,44
12263,04-May-22,HRT2,29,44
12262,04-May-22,HRT2,11,30
13258,04-May-22,HRT2,16,30
12264,04-May-22,HRT2,18,40
13261,04-May-22,HRT2,25,40
13260,04-May-22,HRT2,28,40
12260,04-May-22,HRT2,20,45
14261,04-May-22,HRT2,21,45
14263,04-May-22,HRT2,20,45
11259,04-May-22,HRT1,21,30
14262,04-May-22,HRT3,20,29
14261,04-May-22,HRT3,13,29
13262,04-May-22,HRT3,16,29
12258,04-May-22,HRT3,12,27
12262,04-May-22,HRT3,9,27
14259,04-May-22,HRT3,14,27
11259,04-May-22,HRT3,19,32
11258,04-May-22,HRT3,6,8
13261,04-May-22,HRT3,16,25
13260,04-May-22,HRT3,17,24
12263,04-May-22,HRT3,8,16
12264,04-May-22,HRT3,8,24
11261,04-May-22,HRT3,14,21
12260,04-May-22,HRT3,14,25
13258,04-May-22,HRT3,14,26
14258,04-May-22,HRT3,9,21
11260,04-May-22,HRT3,10,20
12261,04-May-22,HRT3,10,19
13259,04-May-22,HRT3,10,23
11263,04-May-22,HRT3,12,20
12259,04-May-22,HRT3,12,16
11262,04-May-22,HRT3,11,18
13263,04-May-22,HRT3,11,23
14260,04-May-22,HRT3,11,19
12262,04-May-22,HRT4,2,6
14259,04-May-22,HRT4,2,3
11258,04-May-22,HRT4,2,3
13261,04-May-22,HRT4,4,9
11261,04-May-22,HRT4,5,10
12260,04-May-22,HRT4,6,13
12264,04-May-22,HRT4,9,17
13260,04-May-22,HRT4,10,15
14260,04-May-22,HRT4,11,16
13259,04-May-22,HRT4,8,19
12263,04-May-22,HRT4,11,19
14262,04-May-22,HRT4,8,14
12259,04-May-22,HRT4,9,14
13258,04-May-22,HRT4,11,20
13262,04-May-22,HRT4,12,20
13263,04-May-22,HRT4,8,18
11263,04-May-22,HRT4,12,18
11259,04-May-22,HRT4,11,18
11262,04-May-22,HRT4,3,6
12258,04-May-22,HRT4,3,6
14263,04-May-22,HRT4,3,6
11260,04-May-22,HRT4,3,7
14258,04-May-22,HRT4,3,7
14261,04-May-22,HRT4,3,7
12261,04-May-22,HRT4,3,4
11259,05-May-22,HRT1,16,30
13260,05-May-22,HRT1,15,30
14262,05-May-22,HRT1,19,30
14263,05-May-22,HRT1,14,30
12258,05-May-22,HRT1,10,19
11258,05-May-22,HRT1,12,19
12260,05-May-22,HRT1,20,40
14258,05-May-22,HRT1,18,40
14260,05-May-22,HRT1,18,26
12261,05-May-22,HRT1,15,26
11260,05-May-22,HRT1,17,34
11261,05-May-22,HRT1,13,18
11262,05-May-22,HRT1,15,31
11263,05-May-22,HRT1,30,41
12259,05-May-22,HRT1,21,32
12262,05-May-22,HRT1,8,20
12263,05-May-22,HRT1,18,25
13258,05-May-22,HRT1,8,15
13259,05-May-22,HRT1,16,42
13261,05-May-22,HRT1,25,33
13262,05-May-22,HRT1,24,38
13263,05-May-22,HRT1,14,27
14259,05-May-22,HRT1,13,24
14261,05-May-22,HRT1,17,36
12264,05-May-22,HRT1,6,16
14262,05-May-22,HRT2,15,23
13263,05-May-22,HRT2,14,29
12261,05-May-22,HRT2,25,36
12258,05-May-22,HRT2,29,50
11262,05-May-22,HRT2,20,43
11261,05-May-22,HRT2,15,24
11258,05-May-22,HRT2,13,22
14260,05-May-22,HRT2,27,38
11263,05-May-22,HRT2,25,38
11259,05-May-22,HRT2,24,41
14259,05-May-22,HRT2,23,41
14258,05-May-22,HRT2,20,39
12259,05-May-22,HRT2,26,39
11260,05-May-22,HRT2,19,34
13262,05-May-22,HRT2,22,34
13259,05-May-22,HRT2,22,44
12263,05-May-22,HRT2,28,44
12262,05-May-22,HRT2,13,30
13258,05-May-22,HRT2,15,30
12264,05-May-22,HRT2,18,40
13261,05-May-22,HRT2,26,40
13260,05-May-22,HRT2,26,40
12260,05-May-22,HRT2,20,45
14261,05-May-22,HRT2,21,45
14263,05-May-22,HRT2,22,45
14263,05-May-22,HRT3,14,29
14262,05-May-22,HRT3,19,29
14261,05-May-22,HRT3,14,29
13262,05-May-22,HRT3,18,29
12258,05-May-22,HRT3,14,27
12262,05-May-22,HRT3,11,27
14259,05-May-22,HRT3,14,27
11259,05-May-22,HRT3,20,32
11258,05-May-22,HRT3,4,8
13261,05-May-22,HRT3,15,25
13260,05-May-22,HRT3,16,24
12260,05-May-22,HRT3,13,25
11263,05-May-22,HRT3,14,20
11262,05-May-22,HRT3,9,18
14258,05-May-22,HRT3,9,21
11260,05-May-22,HRT3,10,20
12259,05-May-22,HRT3,10,16
12263,05-May-22,HRT3,10,16
13259,05-May-22,HRT3,10,23
11261,05-May-22,HRT3,12,21
13258,05-May-22,HRT3,12,26
14260,05-May-22,HRT3,12,19
12264,05-May-22,HRT3,12,24
12261,05-May-22,HRT3,11,19
13263,05-May-22,HRT3,11,23
14259,05-May-22,HRT4,2,3
11258,05-May-22,HRT4,2,3
11260,05-May-22,HRT4,4,7
14261,05-May-22,HRT4,4,7
13261,05-May-22,HRT4,5,9
11261,05-May-22,HRT4,6,10
12260,05-May-22,HRT4,6,13
12264,05-May-22,HRT4,7,17
13260,05-May-22,HRT4,10,15
14260,05-May-22,HRT4,10,16
13259,05-May-22,HRT4,8,19
12263,05-May-22,HRT4,12,19
14262,05-May-22,HRT4,9,14
12259,05-May-22,HRT4,8,14
13258,05-May-22,HRT4,11,20
13262,05-May-22,HRT4,12,20
13263,05-May-22,HRT4,10,18
11263,05-May-22,HRT4,12,18
11259,05-May-22,HRT4,13,18
11262,05-May-22,HRT4,3,6
12258,05-May-22,HRT4,3,6
12262,05-May-22,HRT4,3,6
14263,05-May-22,HRT4,3,6
14258,05-May-22,HRT4,3,7
12261,05-May-22,HRT4,3,4
11259,06-May-22,HRT1,21,30
13260,06-May-22,HRT1,20,30
14262,06-May-22,HRT1,18,30
14263,06-May-22,HRT1,15,30
12258,06-May-22,HRT1,9,19
11258,06-May-22,HRT1,10,19
12260,06-May-22,HRT1,18,40
14258,06-May-22,HRT1,18,40
14260,06-May-22,HRT1,17,26
12261,06-May-22,HRT1,16,26
11260,06-May-22,HRT1,19,34
11261,06-May-22,HRT1,12,18
11262,06-May-22,HRT1,14,31
11263,06-May-22,HRT1,23,41
12259,06-May-22,HRT1,19,32
12262,06-May-22,HRT1,8,20
12263,06-May-22,HRT1,14,25
13258,06-May-22,HRT1,7,15
13259,06-May-22,HRT1,18,42
13261,06-May-22,HRT1,23,33
13262,06-May-22,HRT1,24,38
13263,06-May-22,HRT1,12,27
14259,06-May-22,HRT1,14,24
14261,06-May-22,HRT1,20,36
12264,06-May-22,HRT1,7,16
14262,06-May-22,HRT2,18,23
13263,06-May-22,HRT2,15,29
12261,06-May-22,HRT2,20,36
12258,06-May-22,HRT2,29,50
11262,06-May-22,HRT2,24,43
11261,06-May-22,HRT2,14,24
11258,06-May-22,HRT2,15,22
14260,06-May-22,HRT2,22,38
11263,06-May-22,HRT2,27,38
11259,06-May-22,HRT2,23,41
14259,06-May-22,HRT2,20,41
14258,06-May-22,HRT2,14,39
12259,06-May-22,HRT2,25,39
11260,06-May-22,HRT2,18,34
13262,06-May-22,HRT2,26,34
13259,06-May-22,HRT2,20,44
12263,06-May-22,HRT2,28,44
12262,06-May-22,HRT2,12,30
13258,06-May-22,HRT2,17,30
12264,06-May-22,HRT2,18,40
13261,06-May-22,HRT2,23,40
13260,06-May-22,HRT2,24,40
12260,06-May-22,HRT2,22,45
14261,06-May-22,HRT2,24,45
14263,06-May-22,HRT2,23,45
14263,06-May-22,HRT3,14,29
14262,06-May-22,HRT3,20,29
14261,06-May-22,HRT3,13,29
13262,06-May-22,HRT3,21,29
12258,06-May-22,HRT3,12,27
12262,06-May-22,HRT3,10,27
14259,06-May-22,HRT3,13,27
11259,06-May-22,HRT3,20,32
11258,06-May-22,HRT3,5,8
13261,06-May-22,HRT3,17,25
11263,06-May-22,HRT3,15,20
12261,06-May-22,HRT3,13,19
14260,06-May-22,HRT3,13,19
13258,06-May-22,HRT3,14,26
13260,06-May-22,HRT3,14,24
11262,06-May-22,HRT3,9,18
13259,06-May-22,HRT3,9,23
12263,06-May-22,HRT3,10,16
14258,06-May-22,HRT3,10,21
12264,06-May-22,HRT3,10,24
11261,06-May-22,HRT3,12,21
12260,06-May-22,HRT3,12,25
13263,06-May-22,HRT3,12,23
11260,06-May-22,HRT3,11,20
12259,06-May-22,HRT3,11,16
12262,06-May-22,HRT4,2,6
14259,06-May-22,HRT4,2,3
11258,06-May-22,HRT4,2,3
11260,06-May-22,HRT4,4,7
13261,06-May-22,HRT4,4,9
12260,06-May-22,HRT4,5,13
11261,06-May-22,HRT4,6,10
12264,06-May-22,HRT4,7,17
13260,06-May-22,HRT4,9,15
14260,06-May-22,HRT4,9,16
13259,06-May-22,HRT4,9,19
12263,06-May-22,HRT4,12,19
14262,06-May-22,HRT4,8,14
12259,06-May-22,HRT4,8,14
13258,06-May-22,HRT4,11,20
13262,06-May-22,HRT4,14,20
13263,06-May-22,HRT4,9,18
11263,06-May-22,HRT4,11,18
11259,06-May-22,HRT4,11,18
11262,06-May-22,HRT4,3,6
12258,06-May-22,HRT4,3,6
14263,06-May-22,HRT4,3,6
14258,06-May-22,HRT4,3,7
14261,06-May-22,HRT4,3,7
12261,06-May-22,HRT4,3,4
14263,07-May-22,HRT3,20,29
13260,07-May-22,HRT1,28,30
14262,07-May-22,HRT1,28,30
14263,07-May-22,HRT1,21,30
12258,07-May-22,HRT1,15,19
11258,07-May-22,HRT1,17,19
12260,07-May-22,HRT1,31,40
14258,07-May-22,HRT1,22,40
14260,07-May-22,HRT1,26,26
12261,07-May-22,HRT1,22,26
11260,07-May-22,HRT1,26,34
11261,07-May-22,HRT1,15,18
11262,07-May-22,HRT1,25,31
11263,07-May-22,HRT1,37,41
12259,07-May-22,HRT1,29,32
12262,07-May-22,HRT1,13,20
12263,07-May-22,HRT1,21,25
13258,07-May-22,HRT1,11,15
13259,07-May-22,HRT1,22,42
13261,07-May-22,HRT1,28,33
13262,07-May-22,HRT1,33,38
13263,07-May-22,HRT1,20,27
14259,07-May-22,HRT1,18,24
14261,07-May-22,HRT1,26,36
12264,07-May-22,HRT1,9,16
14262,07-May-22,HRT2,22,23
13263,07-May-22,HRT2,20,29
12261,07-May-22,HRT2,30,36
12258,07-May-22,HRT2,39,50
11262,07-May-22,HRT2,31,43
11261,07-May-22,HRT2,21,24
11258,07-May-22,HRT2,18,22
14260,07-May-22,HRT2,33,38
11263,07-May-22,HRT2,37,38
11259,07-May-22,HRT2,36,41
14259,07-May-22,HRT2,28,41
14258,07-May-22,HRT2,23,39
12259,07-May-22,HRT2,33,39
11260,07-May-22,HRT2,24,34
13262,07-May-22,HRT2,28,34
13259,07-May-22,HRT2,28,44
12263,07-May-22,HRT2,39,44
12262,07-May-22,HRT2,16,30
13258,07-May-22,HRT2,22,30
12264,07-May-22,HRT2,21,40
13261,07-May-22,HRT2,40,40
13260,07-May-22,HRT2,38,40
12260,07-May-22,HRT2,31,45
14261,07-May-22,HRT2,34,45
14263,07-May-22,HRT2,31,45
11259,07-May-22,HRT1,28,30
14262,07-May-22,HRT3,26,29
14261,07-May-22,HRT3,22,29
13262,07-May-22,HRT3,29,29
12258,07-May-22,HRT3,19,27
12262,07-May-22,HRT3,16,27
14259,07-May-22,HRT3,20,27
11259,07-May-22,HRT3,28,32
11258,07-May-22,HRT3,7,8
12260,07-May-22,HRT3,18,25
13261,07-May-22,HRT3,21,25
11261,07-May-22,HRT3,20,21
11263,07-May-22,HRT3,17,20
12261,07-May-22,HRT3,19,19
13258,07-May-22,HRT3,19,26
13260,07-May-22,HRT3,20,24
13263,07-May-22,HRT3,18,23
14260,07-May-22,HRT3,16,19
12263,07-May-22,HRT3,15,16
13259,07-May-22,HRT3,15,23
12264,07-May-22,HRT3,15,24
11260,07-May-22,HRT3,14,20
11262,07-May-22,HRT3,14,18
12259,07-May-22,HRT3,14,16
14258,07-May-22,HRT3,12,21
14259,07-May-22,HRT4,2,3
11262,07-May-22,HRT4,4,6
14258,07-May-22,HRT4,4,7
12261,07-May-22,HRT4,4,4
11260,07-May-22,HRT4,5,7
12258,07-May-22,HRT4,5,6
14261,07-May-22,HRT4,5,7
14263,07-May-22,HRT4,5,6
11261,07-May-22,HRT4,9,10
12260,07-May-22,HRT4,10,13
13261,07-May-22,HRT4,8,9
12264,07-May-22,HRT4,12,17
13260,07-May-22,HRT4,14,15
14260,07-May-22,HRT4,16,16
13259,07-May-22,HRT4,13,19
12263,07-May-22,HRT4,16,19
14262,07-May-22,HRT4,13,14
12259,07-May-22,HRT4,14,14
13258,07-May-22,HRT4,15,20
13262,07-May-22,HRT4,19,20
13263,07-May-22,HRT4,12,18
11263,07-May-22,HRT4,15,18
11259,07-May-22,HRT4,16,18
12262,07-May-22,HRT4,3,6
11258,07-May-22,HRT4,3,3
11259,08-May-22,HRT1,28,30
13260,08-May-22,HRT1,25,30
14262,08-May-22,HRT1,27,30
14263,08-May-22,HRT1,22,30
12258,08-May-22,HRT1,15,19
11258,08-May-22,HRT1,18,19
12260,08-May-22,HRT1,29,40
14258,08-May-22,HRT1,23,40
14260,08-May-22,HRT1,22,26
12261,08-May-22,HRT1,26,26
11260,08-May-22,HRT1,26,34
11261,08-May-22,HRT1,15,18
11262,08-May-22,HRT1,23,31
11263,08-May-22,HRT1,39,41
12259,08-May-22,HRT1,31,32
12262,08-May-22,HRT1,12,20
12263,08-May-22,HRT1,20,25
13258,08-May-22,HRT1,12,15
13259,08-May-22,HRT1,25,42
13261,08-May-22,HRT1,28,33
13262,08-May-22,HRT1,34,38
13263,08-May-22,HRT1,19,27
14259,08-May-22,HRT1,18,24
14261,08-May-22,HRT1,26,36
12264,08-May-22,HRT1,10,16
14262,08-May-22,HRT2,23,23
13263,08-May-22,HRT2,20,29
12261,08-May-22,HRT2,32,36
12258,08-May-22,HRT2,38,50
11262,08-May-22,HRT2,31,43
11261,08-May-22,HRT2,21,24
11258,08-May-22,HRT2,20,22
14260,08-May-22,HRT2,33,38
11263,08-May-22,HRT2,33,38
11259,08-May-22,HRT2,39,41
14259,08-May-22,HRT2,29,41
14258,08-May-22,HRT2,23,39
12259,08-May-22,HRT2,35,39
11260,08-May-22,HRT2,25,34
13262,08-May-22,HRT2,32,34
13259,08-May-22,HRT2,25,44
12263,08-May-22,HRT2,37,44
12262,08-May-22,HRT2,19,30
13258,08-May-22,HRT2,22,30
12264,08-May-22,HRT2,25,40
13261,08-May-22,HRT2,40,40
13260,08-May-22,HRT2,35,40
12260,08-May-22,HRT2,32,45
14261,08-May-22,HRT2,33,45
14263,08-May-22,HRT2,32,45
14263,08-May-22,HRT3,21,29
14262,08-May-22,HRT3,24,29
14261,08-May-22,HRT3,22,29
13262,08-May-22,HRT3,27,29
12258,08-May-22,HRT3,21,27
12262,08-May-22,HRT3,15,27
14259,08-May-22,HRT3,20,27
11259,08-May-22,HRT3,30,32
12260,08-May-22,HRT3,19,25
13261,08-May-22,HRT3,22,25
11261,08-May-22,HRT3,18,21
11263,08-May-22,HRT3,18,20
12261,08-May-22,HRT3,17,19
12263,08-May-22,HRT3,16,16
13258,08-May-22,HRT3,20,26
13260,08-May-22,HRT3,24,24
13263,08-May-22,HRT3,18,23
14260,08-May-22,HRT3,16,19
11260,08-May-22,HRT3,15,20
12259,08-May-22,HRT3,15,16
12264,08-May-22,HRT3,15,24
11258,08-May-22,HRT3,8,8
14258,08-May-22,HRT3,13,21
11262,08-May-22,HRT3,14,18
13259,08-May-22,HRT3,14,23
